profile_id,condition,gender,age_band,race,education,income,party,state
p00093,control,Female,30-44,White / Caucasian,Doctorate degree / Ph.D.,"$168,000 or more",Independent,Georgia
p00094,control,Female,18-29,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,Georgia
p00095,control,Female,60+,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Independent,California
p00096,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,Pennsylvania
p00097,control,Female,45-59,White / Caucasian,Less than high school,"$56,000 to $99,999",Republican,Virginia
p00098,control,Male,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat,Texas
p00099,control,Female,60+,Asian / Asian American,Less than high school,"$56,000 to $99,999",Republican,Florida
p00100,control,Female,18-29,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Republican,Connecticut
p00101,control,Male,45-59,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Independent,Nebraska
p00102,control,Female,60+,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Independent,Texas
p00103,control,Male,60+,Hispanic / Latino,Less than high school,"Less than $30,000",Democrat,Texas
p00104,control,Female,45-59,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent,Texas
p00105,control,Male,30-44,Black / African American,High school diploma / GED,"$168,000 or more",Independent,Alabama
p00106,control,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,Texas
p00107,control,Female,60+,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Republican,North Carolina
p00108,control,Female,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,Missouri
p00109,control,Male,30-44,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent,Texas
p00110,control,Female,30-44,White / Caucasian,Less than high school,"$56,000 to $99,999",Republican,New York
p00111,control,Male,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,California
p00112,control,Female,30-44,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Virginia
p00113,control,Male,30-44,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent,California
p00114,control,Male,45-59,Black / African American,Less than high school,"Less than $30,000",Independent,Maryland
p00115,control,Male,45-59,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Independent,Kentucky
p00116,control,Male,30-44,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican,Virginia
p00117,control,Female,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,Georgia
p00118,control,Male,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Other,North Carolina
p00119,control,Female,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,Louisiana
p00120,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,Arizona
p00121,control,Female,30-44,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Republican,California
p00122,control,Male,30-44,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,Texas
p00123,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Illinois
p00124,control,Male,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,California
p00125,control,Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,Missouri
p00126,control,Female,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,California
p00127,control,Female,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,Ohio
p00128,control,Male,18-29,Other,Some college or Associate's degree,"$56,000 to $99,999",Independent,New York
p00129,control,Female,45-59,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Texas
p00130,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,New York
p00131,control,Female,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,Pennsylvania
p00132,control,Female,60+,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Other,North Dakota
p00133,control,Female,45-59,White / Caucasian,Less than high school,"$100,000 to $167,999",Republican,Indiana
p00134,control,Male,18-29,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Republican,Georgia
p00135,control,Female,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,Florida
p00136,control,Female,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent,Colorado
p00137,control,Female,60+,Hispanic / Latino,Doctorate degree / Ph.D.,"$168,000 or more",Independent,Missouri
p00138,control,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent,Mississippi
p00139,control,Female,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,California
p00140,control,Female,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,California
p00141,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Alabama
p00142,control,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,Georgia
p00143,control,Male,30-44,White / Caucasian,Bachelor's degree,"Less than $30,000",Democrat,Florida
p00144,control,Female,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,Maine
p00145,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,Mississippi
p00146,control,Male,45-59,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,Texas
p00147,control,Male,18-29,Black / African American,High school diploma / GED,"$56,000 to $99,999",Republican,California
p00148,control,Male,60+,Asian / Asian American,Less than high school,"$30,000 to $55,999",Republican,Colorado
p00149,control,Male,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,Colorado
p00150,control,Female,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,Connecticut
p00151,control,Male,45-59,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,Utah
p00152,control,Female,30-44,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Independent,Florida
p00153,control,Male,45-59,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Democrat,Wisconsin
p00154,control,Female,30-44,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican,Massachusetts
p00155,control,Male,30-44,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,Utah
p00156,control,Female,45-59,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Independent,Mississippi
p00157,control,Male,45-59,Black / African American,Master's degree / Professional degree,"$30,000 to $55,999",Independent,Hawaii
p00158,control,Male,45-59,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,Florida
p00159,control,Female,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,Florida
p00160,control,Female,45-59,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Republican,Texas
p00161,control,Male,60+,Other,High school diploma / GED,"Less than $30,000",Independent,California
p00162,control,Male,45-59,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,Alabama
p00163,control,Female,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,Washington
p00164,control,Male,60+,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Independent,Wisconsin
p00165,control,Male,45-59,Other,Some college or Associate's degree,"$30,000 to $55,999",Democrat,California
p00166,control,Female,60+,White / Caucasian,Less than high school,"$56,000 to $99,999",Republican,Texas
p00167,control,Male,60+,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Other,Kansas
p00168,control,Male,60+,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent,Texas
p00169,control,Male,45-59,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Other,Indiana
p00170,control,Male,45-59,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,New York
p00171,control,Male,30-44,Asian / Asian American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Independent,New York
p00172,control,Female,60+,Black / African American,High school diploma / GED,"Less than $30,000",Other,Missouri
p00173,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,Washington
p00174,control,Female,30-44,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Republican,Texas
p00175,control,Male,18-29,White / Caucasian,Doctorate degree / Ph.D.,"$30,000 to $55,999",Republican,Georgia
p00176,control,Female,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,Virginia
p00177,control,Male,18-29,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Independent,Maryland
p00178,control,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,Wisconsin
p00179,control,Male,18-29,White / Caucasian,Less than high school,"$100,000 to $167,999",Republican,Arkansas
p00180,control,Female,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,Alabama
p00181,control,Female,45-59,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Independent,Texas
p00182,control,Female,18-29,Black / African American,High school diploma / GED,"$100,000 to $167,999",Independent,South Carolina
p00183,control,Female,45-59,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Other,Mississippi
p00184,control,Male,60+,Other,High school diploma / GED,"$100,000 to $167,999",Republican,North Carolina
p00185,control,Female,18-29,Black / African American,High school diploma / GED,"Less than $30,000",Republican,North Carolina
p00186,control,Female,18-29,Black / African American,Bachelor's degree,"$100,000 to $167,999",Republican,California
p00187,control,Male,45-59,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,California
p00188,control,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Other,California
p00189,control,Male,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,New York
p00190,control,Male,45-59,Black / African American,Less than high school,"$30,000 to $55,999",Democrat,Kansas
p00191,control,Female,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,Pennsylvania
p00192,control,Male,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,Florida
p00193,control,Female,60+,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Republican,Georgia
p00194,control,Female,45-59,Asian / Asian American,Less than high school,"Less than $30,000",Independent,New Jersey
p00195,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,Arizona
p00196,control,Female,18-29,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Independent,Michigan
p00197,control,Male,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,California
p00198,control,Male,45-59,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Independent,California
p00199,control,Male,18-29,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Independent,New York
p00200,control,Female,60+,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Democrat,California
p00201,control,Female,45-59,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent,Connecticut
p00202,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,Maine
p00203,control,Female,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,Alabama
p00204,control,Female,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican,Wyoming
p00205,control,Female,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,Pennsylvania
p00206,control,Male,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,Florida
p00207,control,Male,45-59,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,California
p00208,control,Female,60+,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Democrat,Georgia
p00209,control,Female,60+,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Republican,Georgia
p00210,control,Male,60+,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Republican,Minnesota
p00211,control,Female,18-29,Black / African American,Bachelor's degree,"Less than $30,000",Independent,Virginia
p00212,control,Male,45-59,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Independent,Minnesota
p00213,control,Male,30-44,White / Caucasian,Doctorate degree / Ph.D.,"Less than $30,000",Independent,Texas
p00214,control,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent,Pennsylvania
p00215,control,Male,18-29,Black / African American,High school diploma / GED,"$100,000 to $167,999",Independent,Vermont
p00216,control,Male,18-29,Other,Bachelor's degree,"$30,000 to $55,999",Independent,Pennsylvania
p00217,control,Female,60+,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Republican,Virginia
p00218,control,Female,60+,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent,Michigan
p00219,control,Male,18-29,Black / African American,Bachelor's degree,"$168,000 or more",Democrat,Colorado
p00220,control,Male,60+,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,South Carolina
p00221,control,Female,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican,California
p00222,control,Female,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,Nevada
p00223,control,Female,30-44,Other,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Florida
p00224,control,Male,30-44,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Independent,Florida
p00225,control,Male,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,Texas
p00226,control,Female,30-44,Hispanic / Latino,Doctorate degree / Ph.D.,"$100,000 to $167,999",Independent,California
p00227,control,Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Republican,Louisiana
p00228,control,Female,45-59,Hispanic / Latino,Master's degree / Professional degree,"$30,000 to $55,999",Other,Oklahoma
p00229,control,Female,30-44,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,Florida
p00230,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,California
p00231,control,Male,18-29,Black / African American,High school diploma / GED,"$30,000 to $55,999",Republican,Virginia
p00232,control,Female,45-59,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,Colorado
p00233,control,Female,45-59,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,North Dakota
p00234,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,California
p00235,control,Male,30-44,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Independent,North Carolina
p00236,control,Male,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,Alabama
p00237,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,New Jersey
p00238,control,Male,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,Florida
p00239,control,Male,60+,Black / African American,Some college or Associate's degree,"Less than $30,000",Republican,Arizona
p00240,control,Female,60+,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Democrat,Florida
p00241,control,Female,45-59,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,California
p00242,control,Other,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,Pennsylvania
p00243,control,Male,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent,Virginia
p00244,control,Male,45-59,White / Caucasian,Less than high school,"Less than $30,000",Independent,Arizona
p00245,control,Male,60+,White / Caucasian,Less than high school,"$100,000 to $167,999",Independent,West Virginia
p00246,control,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent,California
p00247,control,Male,45-59,White / Caucasian,Less than high school,"$100,000 to $167,999",Republican,Texas
p00248,control,Male,45-59,Black / African American,Bachelor's degree,"$100,000 to $167,999",Republican,Oklahoma
p00249,control,Male,45-59,Asian / Asian American,Doctorate degree / Ph.D.,"$56,000 to $99,999",Democrat,Texas
p00250,control,Other,18-29,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican,Pennsylvania
p00251,control,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,Florida
p00252,control,Male,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Democrat,New Hampshire
p00253,control,Female,18-29,Asian / Asian American,Less than high school,"$56,000 to $99,999",Independent,Wisconsin
p00254,control,Female,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,Florida
p00255,control,Female,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,Florida
p00256,control,Male,30-44,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Other,California
p00257,control,Female,45-59,White / Caucasian,Less than high school,"Less than $30,000",Democrat,Hawaii
p00258,control,Female,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,New Jersey
p00259,control,Female,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,New York
p00260,control,Other,18-29,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,New York
p00261,control,Female,60+,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent,North Dakota
p00262,control,Male,45-59,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,New Jersey
p00263,control,Female,60+,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Independent,California
p00264,control,Female,45-59,Black / African American,Less than high school,"$100,000 to $167,999",Independent,Kentucky
p00265,control,Male,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,Virginia
p00266,control,Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,Illinois
p00267,control,Male,60+,Black / African American,Bachelor's degree,"$30,000 to $55,999",Other,New York
p00268,control,Female,18-29,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,Indiana
p00269,control,Female,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,California
p00270,control,Male,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican,Colorado
p00271,control,Female,45-59,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Republican,New Jersey
p00272,control,Other,18-29,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent,Texas
p00273,control,Female,60+,Other,Some college or Associate's degree,"$100,000 to $167,999",Republican,Texas
p00274,control,Male,30-44,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Republican,Texas
p00275,control,Female,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,Washington
